STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5906;1979110822:09;    1;   -999;    0.0;    0.0;   0;   142.38;1979110823:00;eor
       5906;1979110823:09;    1;   -999;    0.0;    0.0;   0;   146.54;1979110900:00;eor
       5906;1979110900:09;    1;   -999;    0.0;    0.0;   0;   146.55;1979110901:00;eor
       5906;1979110901:09;    1;   -999;    0.0;    0.0;   0;   142.42;1979110902:00;eor
       5906;1979110902:09;    1;   -999;    0.0;    0.0;   0;   135.35;1979110903:00;eor
       5906;1979110903:09;    1;   -999;    0.0;    0.0;   0;   126.63;1979110904:00;eor
       5906;1979110904:09;    1;   -999;    0.0;    0.0;   0;   117.14;1979110905:00;eor
       5906;1979110905:09;    1;   -999;    0.0;    0.0;   0;   107.43;1979110906:00;eor
       5906;1979110906:09;    1;   -999;    0.0;    0.0;   0;    97.89;1979110907:00;eor
       5906;1979110907:09;    1;   -999;    4.0;    5.0;   6;    88.89;1979110908:00;eor
       5906;1979110908:09;    1;   -999;   16.0;   22.0;  18;    80.80;1979110909:00;eor
       5906;1979110909:09;    1;   -999;   33.0;   48.0;  24;    74.07;1979110910:00;eor
       5906;1979110910:09;    1;   -999;   34.0;   71.0;  30;    69.18;1979110911:00;eor
       5906;1979110911:09;    1;   -999;   59.0;  109.0;  42;    66.60;1979110912:00;eor
       5906;1979110912:09;    1;   -999;   49.0;   88.0;  36;    66.61;1979110913:00;eor
       5906;1979110913:09;    1;   -999;   46.0;   94.0;  54;    69.22;1979110914:00;eor
       5906;1979110914:09;    1;   -999;   38.0;   43.0;   6;    74.13;1979110915:00;eor
       5906;1979110915:09;    1;   -999;   26.0;   26.0;   0;    80.88;1979110916:00;eor
       5906;1979110916:09;    1;   -999;    4.0;    4.0;   0;    88.97;1979110917:00;eor
       5906;1979110917:09;    1;   -999;    0.0;    0.0;   0;    97.99;1979110918:00;eor
       5906;1979110918:09;    1;   -999;    0.0;    0.0;   0;   107.54;1979110919:00;eor
       5906;1979110919:09;    1;   -999;    0.0;    0.0;   0;   117.27;1979110920:00;eor
       5906;1979110920:09;    1;   -999;    0.0;    0.0;   0;   126.79;1979110921:00;eor
       5906;1979110921:09;    1;   -999;    0.0;    0.0;   0;   135.53;1979110922:00;eor
       5906;1979110922:09;    1;   -999;    0.0;    0.0;   0;   142.65;1979110923:00;eor
       5906;1979110923:09;    1;   -999;    0.0;    0.0;   0;   146.82;1979111000:00;eor
       5906;1979111000:09;    1;   -999;    0.0;    0.0;   0;   146.84;1979111001:00;eor
       5906;1979111001:09;    1;   -999;    0.0;    0.0;   0;   142.68;1979111002:00;eor
       5906;1979111002:09;    1;   -999;    0.0;    0.0;   0;   135.58;1979111003:00;eor
       5906;1979111003:09;    1;   -999;    0.0;    0.0;   0;   126.85;1979111004:00;eor
       5906;1979111004:09;    1;   -999;    0.0;    0.0;   0;   117.35;1979111005:00;eor
       5906;1979111005:09;    1;   -999;    0.0;    0.0;   0;   107.64;1979111006:00;eor
       5906;1979111006:09;    1;   -999;    0.0;    0.0;   0;    98.11;1979111007:00;eor
       5906;1979111007:09;    1;   -999;    3.0;    3.0;   0;    89.12;1979111008:00;eor
       5906;1979111008:09;    1;   -999;   10.0;   10.0;   0;    81.05;1979111009:00;eor
       5906;1979111009:09;    1;   -999;   11.0;   11.0;   0;    74.33;1979111010:00;eor
       5906;1979111010:09;    1;   -999;   14.0;   14.0;   0;    69.46;1979111011:00;eor
       5906;1979111011:09;    1;   -999;   52.0;   56.0;   6;    66.88;1979111012:00;eor
       5906;1979111012:09;    1;   -999;   42.0;   61.0;  30;    66.89;1979111013:00;eor
       5906;1979111013:09;    1;   -999;   41.0;   55.0;  30;    69.49;1979111014:00;eor
       5906;1979111014:09;    1;   -999;   15.0;   15.0;   0;    74.39;1979111015:00;eor
       5906;1979111015:09;    1;   -999;   13.0;   13.0;   0;    81.12;1979111016:00;eor
       5906;1979111016:09;    1;   -999;    1.0;    1.0;   0;    89.20;1979111017:00;eor
       5906;1979111017:09;    1;   -999;    0.0;    0.0;   0;    98.21;1979111018:00;eor
       5906;1979111018:09;    1;   -999;    0.0;    0.0;   0;   107.75;1979111019:00;eor
       5906;1979111019:09;    1;   -999;    0.0;    0.0;   0;   117.48;1979111020:00;eor
       5906;1979111020:09;    1;   -999;    0.0;    0.0;   0;   127.01;1979111021:00;eor
       5906;1979111021:09;    1;   -999;    0.0;    0.0;   0;   135.77;1979111022:00;eor
       5906;1979111022:09;    1;   -999;    0.0;    0.0;   0;   142.90;1979111023:00;eor
       5906;1979111023:09;    1;   -999;    0.0;    0.0;   0;   147.10;1979111100:00;eor
       5906;1979111100:09;    1;   -999;    0.0;    0.0;   0;   147.11;1979111101:00;eor
       5906;1979111101:09;    1;   -999;    0.0;    0.0;   0;   142.94;1979111102:00;eor
       5906;1979111102:09;    1;   -999;    0.0;    0.0;   0;   135.82;1979111103:00;eor
       5906;1979111103:09;    1;   -999;    0.0;    0.0;   0;   127.07;1979111104:00;eor
       5906;1979111104:09;    1;   -999;    0.0;    0.0;   0;   117.56;1979111105:00;eor
       5906;1979111105:09;    1;   -999;    0.0;    0.0;   0;   107.84;1979111106:00;eor
       5906;1979111106:09;    1;   -999;    0.0;    0.0;   0;    98.32;1979111107:00;eor
       5906;1979111107:09;    1;   -999;    4.0;    4.0;   0;    89.34;1979111108:00;eor
       5906;1979111108:09;    1;   -999;   15.0;   36.0;   6;    81.29;1979111109:00;eor
       5906;1979111109:09;    1;   -999;   25.0;   82.0;  60;    74.59;1979111110:00;eor
       5906;1979111110:09;    1;   -999;   30.0;  112.0;  60;    69.73;1979111111:00;eor
       5906;1979111111:09;    1;   -999;   34.0;  131.0;  60;    67.16;1979111112:00;eor
       5906;1979111112:09;    1;   -999;   40.0;  124.0;  60;    67.17;1979111113:00;eor
       5906;1979111113:09;    1;   -999;   24.0;  114.0;  60;    69.76;1979111114:00;eor
       5906;1979111114:09;    1;   -999;   20.0;   81.0;  60;    74.64;1979111115:00;eor
       5906;1979111115:09;    1;   -999;   11.0;   40.0;  60;    81.36;1979111116:00;eor
       5906;1979111116:09;    1;   -999;    2.0;    5.0;  18;    89.43;1979111117:00;eor
       5906;1979111117:09;    1;   -999;    0.0;    0.0;   0;    98.42;1979111118:00;eor
       5906;1979111118:09;    1;   -999;    0.0;    0.0;   0;   107.95;1979111119:00;eor
       5906;1979111119:09;    1;   -999;    0.0;    0.0;   0;   117.69;1979111120:00;eor
       5906;1979111120:09;    1;   -999;    0.0;    0.0;   0;   127.22;1979111121:00;eor
       5906;1979111121:09;    1;   -999;    0.0;    0.0;   0;   136.00;1979111122:00;eor
       5906;1979111122:09;    1;   -999;    0.0;    0.0;   0;   143.16;1979111123:00;eor
       5906;1979111123:09;    1;   -999;    0.0;    0.0;   0;   147.38;1979111200:00;eor
       5906;1979111200:09;    1;   -999;    0.0;    0.0;   0;   147.39;1979111201:00;eor
       5906;1979111201:09;    1;   -999;    0.0;    0.0;   0;   143.19;1979111202:00;eor
       5906;1979111202:09;    1;   -999;    0.0;    0.0;   0;   136.04;1979111203:00;eor
       5906;1979111203:09;    1;   -999;    0.0;    0.0;   0;   127.28;1979111204:00;eor
       5906;1979111204:09;    1;   -999;    0.0;    0.0;   0;   117.76;1979111205:00;eor
       5906;1979111205:09;    1;   -999;    0.0;    0.0;   0;   108.05;1979111206:00;eor
       5906;1979111206:09;    1;   -999;    0.0;    0.0;   0;    98.53;1979111207:00;eor
       5906;1979111207:09;    1;   -999;    5.0;    8.0;   6;    89.56;1979111208:00;eor
       5906;1979111208:09;    1;   -999;   17.0;   29.0;  18;    81.52;1979111209:00;eor
       5906;1979111209:09;    1;   -999;   47.0;   85.0;  36;    74.84;1979111210:00;eor
       5906;1979111210:09;    1;   -999;   62.0;   79.0;  18;    69.99;1979111211:00;eor
       5906;1979111211:09;    1;   -999;   44.0;   44.0;   0;    67.43;1979111212:00;eor
       5906;1979111212:09;    1;   -999;   20.0;   20.0;   0;    67.44;1979111213:00;eor
       5906;1979111213:09;    1;   -999;   13.0;   13.0;   0;    70.03;1979111214:00;eor
       5906;1979111214:09;    1;   -999;   12.0;   12.0;   0;    74.89;1979111215:00;eor
       5906;1979111215:09;    1;   -999;    6.0;    6.0;   0;    81.59;1979111216:00;eor
       5906;1979111216:09;    1;   -999;    1.0;    1.0;   0;    89.65;1979111217:00;eor
       5906;1979111217:09;    1;   -999;    0.0;    0.0;   0;    98.63;1979111218:00;eor
       5906;1979111218:09;    1;   -999;    0.0;    0.0;   0;   108.16;1979111219:00;eor
       5906;1979111219:09;    1;   -999;    0.0;    0.0;   0;   117.89;1979111220:00;eor
       5906;1979111220:09;    1;   -999;    0.0;    0.0;   0;   127.43;1979111221:00;eor
       5906;1979111221:09;    1;   -999;    0.0;    0.0;   0;   136.22;1979111222:00;eor
       5906;1979111222:09;    1;   -999;    0.0;    0.0;   0;   143.41;1979111223:00;eor
       5906;1979111223:09;    1;   -999;    0.0;    0.0;   0;   147.65;1979111300:00;eor
       5906;1979111300:09;    1;   -999;    0.0;    0.0;   0;   147.66;1979111301:00;eor
       5906;1979111301:09;    1;   -999;    0.0;    0.0;   0;   143.44;1979111302:00;eor
       5906;1979111302:09;    1;   -999;    0.0;    0.0;   0;   136.27;1979111303:00;eor
