STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
       5906;19790808;    1;     -999;   924.00;  1579.00;    8.1;eor
       5906;19790809;    1;     -999;   835.00;  1241.00;    3.9;eor
       5906;19790810;    1;     -999;   653.00;   705.00;    0.9;eor
       5906;19790811;    1;     -999;   867.00;  1082.00;    2.1;eor
       5906;19790812;    1;     -999;  1033.00;  1195.00;    2.5;eor
       5906;19790813;    1;     -999;  1111.00;  1495.00;    4.5;eor
       5906;19790814;    1;     -999;   918.00;  2018.00;   10.0;eor
       5906;19790815;    1;     -999;   836.00;  1152.00;    4.6;eor
       5906;19790816;    1;     -999;   313.00;   313.00;    0.0;eor
       5906;19790817;    1;     -999;   655.00;  1712.00;    5.9;eor
       5906;19790818;    1;     -999;   821.00;   863.00;    0.6;eor
       5906;19790819;    1;     -999;  1016.00;  1772.00;    8.8;eor
       5906;19790820;    1;     -999;   970.00;  1139.00;    2.7;eor
       5906;19790821;    1;     -999;   983.00;  1773.00;    7.4;eor
       5906;19790822;    1;     -999;   538.00;   591.00;    1.2;eor
       5906;19790823;    1;     -999;   738.00;   864.00;    2.5;eor
       5906;19790824;    1;     -999;   778.00;  1344.00;    4.8;eor
       5906;19790825;    1;     -999;   795.00;  1038.00;    3.2;eor
       5906;19790826;    1;     -999;   877.00;  1338.00;    4.3;eor
       5906;19790827;    1;     -999;   709.00;   956.00;    3.0;eor
       5906;19790828;    1;     -999;   807.00;   997.00;    3.1;eor
       5906;19790829;    1;     -999;   511.00;  2071.00;   12.0;eor
       5906;19790830;    1;     -999;   386.00;  2132.00;   12.6;eor
       5906;19790831;    1;     -999;   545.00;  1929.00;   11.4;eor
       5906;19790901;    1;     -999;   618.00;  1881.00;   11.3;eor
       5906;19790902;    1;     -999;   806.00;  1651.00;    7.8;eor
       5906;19790903;    1;     -999;   584.00;  1011.00;    4.1;eor
       5906;19790904;    1;     -999;   645.00;  1234.00;    5.5;eor
       5906;19790905;    1;     -999;   491.00;  1926.00;   11.7;eor
       5906;19790906;    1;     -999;   449.00;  1952.00;   11.7;eor
       5906;19790907;    1;     -999;   728.00;  1674.00;   10.3;eor
       5906;19790908;    1;     -999;   825.00;  1383.00;    8.3;eor
       5906;19790909;    1;     -999;   815.00;  1311.00;    6.7;eor
       5906;19790910;    1;     -999;   841.00;  1411.00;    6.7;eor
       5906;19790911;    1;     -999;   733.00;  1580.00;   10.0;eor
       5906;19790912;    1;     -999;   795.00;  1525.00;    8.3;eor
       5906;19790913;    1;     -999;   854.00;  1413.00;    7.5;eor
       5906;19790914;    1;     -999;   451.00;   451.00;    0.0;eor
       5906;19790915;    1;     -999;   752.00;  1158.00;    7.1;eor
       5906;19790916;    1;     -999;   220.00;  1891.00;   11.6;eor
       5906;19790917;    1;     -999;   391.00;  1780.00;   11.2;eor
       5906;19790918;    1;     -999;   524.00;  1478.00;   10.4;eor
       5906;19790919;    1;     -999;   516.00;  1585.00;   10.5;eor
       5906;19790920;    1;     -999;   276.00;   287.00;    0.2;eor
       5906;19790921;    1;     -999;   744.00;   839.00;    1.3;eor
       5906;19790922;    1;     -999;   375.00;   375.00;    0.0;eor
       5906;19790923;    1;     -999;   324.00;   324.00;    0.0;eor
       5906;19790924;    1;     -999;   617.00;   958.00;    5.5;eor
       5906;19790925;    1;     -999;   461.00;   611.00;    2.5;eor
       5906;19790926;    1;     -999;   563.00;  1336.00;    7.4;eor
       5906;19790927;    1;     -999;   401.00;  1388.00;    9.6;eor
       5906;19790928;    1;     -999;   761.00;   990.00;    3.1;eor
       5906;19790929;    1;     -999;   573.00;   738.00;    2.8;eor
       5906;19790930;    1;     -999;   546.00;  1378.00;    8.8;eor
       5906;19791001;    1;     -999;   493.00;  1266.00;    9.3;eor
       5906;19791002;    1;     -999;   602.00;  1240.00;    8.3;eor
       5906;19791003;    1;     -999;   589.00;  1059.00;    5.0;eor
       5906;19791004;    1;     -999;   615.00;  1079.00;    6.6;eor
       5906;19791005;    1;     -999;   552.00;   573.00;    0.3;eor
